"Display Product Count","Mostrar Conteo de Producto"
"Expand all categories","Expandir todas las categorias"
"Expand all max depth","Expandir todo a la profundidad máxima"
"Leave empty or set to 0 for no limit","Dejar vacío o poner en 0 para ilimitado"
"Hide Top Navigation","Ocultar Menu Horizontal"
"Root Categories","Categorias Raices"
"Store base","Tienda base"
"Current category children","Categoria hija actual"
"Same level as current category","Mismo nivel como en la categoria actual"
"Fallback to store base","Recurrir a la tienda base"
"If no current category is selected","Si niguna categoria actual es seleccionada"
"Category Level %d","Nivel de Categoria %d"
"Category Vertical Navigation","Navegación Vertical de Categorias"

