"Display Product Count","Mostrar Contúdo do Produto"
"Expand all categories","Expandir todas as categorias"
"Expand all max depth","Expandir toda a profundidade máxima"
"Leave empty or set to 0 for no limit","Deixar vazio ou por em 0 para ilimitado"
"Hide Top Navigation","Ocultar Menu Horizontal"
"Root Categories","Categorias Raizes"
"Store base","Loja base"
"Current category children","Categoria filha atual"
"Same level as current category","Mesmo nivel como na categoria atual"
"Expand on Top Level","Expandir em Nível Superior"
"Fallback to store base","Recorrer à loja base"
"If no current category is selected","Se nenhuma categoria atual estiver selecionada"
"Category Level %d","Nivel de Categoria %d"
"Category Vertical Navigation","Navegação Vertical de Categorias"
"If your product is top level requested without a category path should VertNav expand the category listing to the first associated product category.","Se o seu produto é de alto nível requerido, sem um caminho categoria deve VertNav expandir a lista de categoria para a categoria de primeiro produto associado."

